Region,Year,Source,Sector,Subsector,TPM,PM10,PM2.5,SOX,NOX,VOC,CO,NH3,Pb,Cd,Hg,D/F,HCB,PAH
Canada,1991,Industrial Sources,Mineral Products Industry,all subsectors,3665,1859,989,1466,1132,200,3398,85,,,,0.819,,
Canada,1991,Industrial Sources,Mineral Products Industry,Clay Products,1550,561,189,391,129,6,268,41,,,,,,
Canada,1991,Industrial Sources,Mineral Products Industry,Brick Products,40,34,3,102,4,,,,,,,,,
Canada,1991,Industrial Sources,Mineral Products Industry,Other Mineral Products,2076,1264,797,973,999,194,3130,44,,,,0.819,,
Canada,1991,Industrial Sources,Foundries,all subsectors,6730,5564,5251,1160,466,1687,47463,12,2056,1.6,206.5,,,
Canada,1991,Industrial Sources,Foundries,Ferrous Foundries,6195,5523,5217,767,395,1463,47398,12,,,206.5,,,
Canada,1991,Industrial Sources,Foundries,Non-ferrous Foundries,48,33,28,393,59,198,30,1,2056,1.6,,,,
Canada,1991,Industrial Sources,Foundries,Die Casting,487,8,7,,13,26,35,,,,,,,
Canada,1991,Industrial Sources,Grain Industries,all subsectors,95188,17612,2774,348,1542,1845,2121,6,,,,,,
Canada,1991,Industrial Sources,Iron and Steel Industries,all subsectors,26943,13198,10274,37189,19857,5478,42162,187,53887.3,183.2,578.2,35.468,1180.83,79920.4
Canada,1991,Industrial Sources,Iron and Steel Industries,Primary (Blast furnace and DRI),22347,10819,8355,36407,17392,4783,30805,105,32395.2,144.4,63.2,19.201,135.453,79920.4
Canada,1991,Industrial Sources,Iron and Steel Industries,Secondary (Electric Arc Furnaces),4585,2372,1916,781,2455,643,11226,81,21492.1,38.7,493.7,16.267,1045.377,
Canada,1991,Industrial Sources,Iron and Steel Industries,Steel Recycling,12,6,4,1,10,52,131,,,,21.2,,,
Canada,1991,Industrial Sources,Iron and Steel Industries,Other (Iron and Steel Industries),,,,,,,,,,,,,,
Canada,1991,Industrial Sources,Iron Ore Mining Industry,all subsectors,34783,5370,2191,69332,9537,883,28026,156,,,60.1,,,
Canada,1991,Industrial Sources,Iron Ore Mining Industry,Iron Ore Mining Industry,8235,2536,1010,55046,5308,849,27180,6,,,0.1,,,
Canada,1991,Industrial Sources,Iron Ore Mining Industry,Pelletizing,26548,2834,1181,14286,4229,34,846,150,,,60,,,
Canada,1991,Industrial Sources,Mining and Rock Quarrying,all subsectors,188314,32647,11507,29922,22299,3217,13457,507,207675.1,4396.9,12,,12.9,0.3
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Rock; Sand and Gravel,65242,10178,2222,40,238,12,122,23,,,,,,
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Metal Mining ,81482,6949,1324,22823,11372,436,9123,190,204136.1,4396.9,12,,4.969,
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Coal Mining Industry,16231,8494,4379,5496,2982,1870,202,13,,,,,,0.3
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Potash,2172,895,772,196,2162,560,1745,2,,,,,,
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Silica Production,1264,124,37,,,,,,,,,,,
Canada,1991,Industrial Sources,Mining and Rock Quarrying,Other Minerals,21923,6007,2774,1367,5545,339,2265,279,3539,,,,7.931,
Canada,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,all subsectors,18676,15506,9353,1119440,7083,50,270,213,847454.6,67847.9,24865.2,3.234,2544.61,1.9
Canada,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Primary Ni; Cu; Zn; Pb,18034,14946,8929,1119231,6827,43,204,203,845460.1,67847.9,24802,3.187,2544.61,
Canada,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Secondary Pb; Cu,39,39,36,75,5,1,6,,1994.5,,,0.047,,1.9
Canada,1991,Industrial Sources,Non-Ferrous Smelting and Refining Industry,Other metals,603,521,388,133,250,6,60,10,,,63.2,,,
Canada,1991,Industrial Sources,Pulp and Paper Industry,all subsectors,130877,81333,52708,115464,66853,27131,168415,4180,1996.9,357.5,97.1,11.309,150.42,109.7
Canada,1991,Industrial Sources,Wood Industry,all subsectors,110635,56154,32715,3020,18318,107447,1082225,4560,3543,126.2,260.7,1.782,410.71,209.6
Canada,1991,Industrial Sources,Wood Industry,Sawmills,89855,45905,25797,1874,12451,83988,925315,2816,3001.7,94.5,225.4,1.478,391.857,178.4
Canada,1991,Industrial Sources,Wood Industry,Panel Board Mills,14896,7053,4975,750,5006,17837,131782,1531,457.7,17.7,35.4,0.304,12.426,27.6
