Region-EN,Year-Année,Source-EN,Sector-EN,Sub-sector-EN,TPM-MPT,PM10-PM10,PM2.5-PM2.5,SOX-SOX,NOX-NOX,VOC-COV,CO-CO,NH3-NH3,Pb-Pb,Cd-Cd,Hg-Hg,D/F-D/F,HCB-HCB,PAH-HAP
Newfoundland and Labrador,1990,Miscellaneous Sources,Human,all subsectors,,,,,,,,10,,,2.1,,,
Newfoundland and Labrador,1990,Miscellaneous Sources,Other Miscellaneous Sources,all subsectors,,,,,,,,,,,13.7,,,
Newfoundland and Labrador,1990,Open Sources,Agriculture,all subsectors,214,53,12,21,21,168,5,498,0.6,0.4,,0.001,,
Newfoundland and Labrador,1990,Open Sources,Agriculture,Animals Production,136,20,3,,,168,,497,,,,,,
Newfoundland and Labrador,1990,Open Sources,Agriculture,Crop Production,68,28,7,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Agriculture,Fertilizer Application,8,4,1,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Agriculture,Agriculture - Fuel Combustion,2,1,1,21,21,,5,1,0.6,0.4,,0.001,,
Newfoundland and Labrador,1990,Open Sources,Construction Operation,all subsectors,39553,11866,2374,81,40,1,8,1,0.2,0.1,,0.002,,
Newfoundland and Labrador,1990,Open Sources,Dust from Paved Roads,all subsectors,68270,13085,3129,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Dust from Unpaved Roads,all subsectors,65624,20038,2947,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Dust from Coal Transportation,all subsectors,5,2,1,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Waste,all subsectors,172,107,102,6,38,734,530,4,,,22.7,0.91,216.64,31.9
Newfoundland and Labrador,1990,Open Sources,Waste,Landfills,71,6,1,,,545,,,,,12,,,
Newfoundland and Labrador,1990,Open Sources,Waste,Water and Sewage Treatment,,,,,,,,,,,4.1,,,
Newfoundland and Labrador,1990,Open Sources,Waste,Energy from Waste,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Waste,Open Burning,101,101,101,6,38,189,530,4,,,6.6,0.91,216.64,31.9
Newfoundland and Labrador,1990,Open Sources,Waste,Waste Treatment and Disposal,,,,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Mine Tailings,all subsectors,1072,86,21,,,,,,,,,,,
Newfoundland and Labrador,1990,Open Sources,Prescribed Burning,all subsectors,936,807,565,2,93,261,8473,8,,,,0.103,,133.5
Newfoundland and Labrador,1991,Industrial Sources,Aluminum Industry,all subsectors,,,,,,,,,,,,,,
Newfoundland and Labrador,1991,Industrial Sources,Aluminum Industry,Alumina (Bauxite Refining),,,,,,,,,,,,,,
Newfoundland and Labrador,1991,Industrial Sources,Aluminum Industry,Primary Aluminum Smelting & Refining,,,,,,,,,,,,,,
Newfoundland and Labrador,1991,Industrial Sources,Aluminum Industry,Secondary Aluminum (Includes Recycling),,,,,,,,,,,,,,
Newfoundland and Labrador,1991,Industrial Sources,Asphalt Paving Industry,all subsectors,340,65,12,3,7,4,18,,41.8,0.3,0.4,,,0.1
